# SPDX-FileCopyrightText: 2026 contributors
# SPDX-License-Identifier: Apache-2.0
#
# This repository's history was cut out of curtisgalloway/public-skills with git filter-repo
# on 2026-09-25 (with a mailmap moving one author address to the noreply form), which gave
# every commit a new hash. Each line maps a public-skills commit
# (left) to its copy here (right). Hashes cited in this repository's files are
# public-skills hashes: prose citations link there, and bare hashes in machine-read fields
# (ledger.lock, *.verify.md front matter, reconstruction inputs) translate through this map.
old                                      new
00ab5a837dc8f8e20411fabe07763557673aec6a 9dd506883b0b5e021f9cc0ebd32e9837068e39bc
0180326c44cb995511d993e33fe9b9707ea8ac77 9b8e4571c438a2af055c51c8bb189ebd17cbd096
01ca0ae335ba9769d8d3e644074cd0f5b695e8b1 3688027cc387396f40a5260a134182ff52367df2
020900c358e8524e82c8b01e52b55a1415e9b8d0 c6285050f093fddb1e9bdfa8aa49ba26be4511f5
0555d1101b8c473301a374a7e7b64459c40e0eab 2fc9cce19c4ebf9423a4f4dc37f07c94fd2b6783
0ff9e6a99badd20fff59d777fcc9f4e28de7092c c1a370480db1095888358be00a36104f46397891
11cd4c4fa505c3a6a4c7c4dd00c524d07622ff3e 38e46db8e2ebe5ca83f0b7ec173a7129cffd23ea
12060e5dec4d706a3c643d251075106201f7e80c 2efd57e963b3ecf49088ad8a3433a41bcd47bf84
121376cf6b2a6b48212e0997e0ae79e6334693d0 b82d80482161431fce2a9cbd748a631eaf24c3b7
1409a8978f765fd0934355efad82d01cfad8be2e f6b5a421edec048b85f5b9ab646539438f10ebe7
17a0fec2e0336e8f8923ab50ffb082837e17e408 8768144a86ae07227d48d76ceddacf4239143422
1a2b1ddd9e954e81c136fdb20c3bc82cba0989de 29fc4db759cba30cbdbadda4ef30e547f24bbc3d
2784ca8874e04b645077e459d95182bb0f23cac3 880ad915b1ffcdd1319e52c828a3145f86255caa
27afde6a7591e65310c011262713e9c513324d81 79c3924c1bde58466e7e538622b43b279b39fad1
27cf5b2b2c72667686c5425359c59f08bab1d261 ef20b47cf2664f7367ce4f543ae6afdddec32587
2a9eeafcd9a37a1de3f532e377d68bea45175f1d b745600993f039e4e2cd4b0da9862d13433963ea
2e5ff044801d42fc98c0f5412aa37e76feeb45e8 d2ce4c8e214d0ed2db7724d8c60577d224aa9565
2e6fc691ef170b086b6c915fbe37485da08566a8 cf8cd17369689f5b02120f6fc444c01ad24d1ae3
3031b832f45b6241cc4c85ca206f92ac89764bd2 09b7b1fabd995d416e5c19b11cd070fd6c1b2ecf
315b12b0d3b74e7040691f43aceb79de2575d196 6acf7298ccc3e0e46a8f76b38f757de21f152ef4
3202605305d0ad6bb3a5f621ace849679c906060 ba91add28886c3b61a7fdc7033d9c4eb5be726a9
320f91b2ab5f5f56056f46d1c484436c15d11bbb d5ea39094011a85e41216c12d73b5663e57a3de1
322192876442b066dd31690a190773c7f903d099 24975d72419c2a319130384986bb008bacd6c2ba
34790751f84e1e2e49594fc85a78bff7af17d3e6 2f5690a8f99119bb333b021fadab4b6c36e56431
34b5496ea23bd10d9c2fb716cd89e06a65d0ed07 f88aeba47a478f7c530ee19aac46655c675a929a
3a0a36a4c7b834daa08298d5e9bbebf34372b810 3cbb1159fca3f1f805f4985255b693c7e566bcdd
3a1a2ad63e29d6f45e5a7dfe27568822cd4c161f fa2c6d81da30a1e34a930996f60ce60c13e4bd6d
3ac2696be572e7e7a51bfbdfafaf1835eb573700 c1440883d6231b1f89a2d580593e294fea841d3b
3d477382b9b16bcdbdb70d44a823be0cf413f90b 093b406b76118990c8321c05a382ac5d275efa8a
3d7462a5dad850fb467e2f253f7e6f389904216c 1d44cdffa12a2dc09ce2bec45a5996ac00fbc367
3d7eb2913551e0d462f0e22f4541c970b25af679 d5fbbec3d9b22bf1960e424756c2e6ae7fa05dc1
40df058d756f37b94c21dc6ba6ba33b12730a563 d9ddf68f166e1f91bb15943431fab8b068091438
425ed52a409ac4ca95ddfc3fdea8a6312cdf22e7 2beb7c7c1f734f472c9e824cb8e750816fc11082
42dab3ef6ef58340506bd71b6a0902954778947f fdc86b387153ca04524cf626df488b8c8af10ed4
4516643cc0612ad9ea9d3536ce4e66883fdae8a7 4a50afc64ab41966cd690b8af0609c094a33b175
45598425bad9789aaa4b7cc5742bbe1f65559e04 7c7398ac9be4bbd9ee04b15ee39fce1f38f59ef9
47e6e6dca41b5adb6382489516ad80e8762b771e 35260b7a897532c7d4403d390618c0107a79c6aa
4c32e18e1d5ecbb362363322e376a34d5aa8ba46 547b71acb3a1b9204488717a759d980539331cc4
4c43355c0aa1cc20031981043ff7dd75deee7ada 94a54b3d574d9a37fd4fb0235859b62cc80fdae2
4e4069a9b919b1deb2219b5d9b62b201169259d2 b557dbfb83c9c9ab01b72421f3a69d1a8d205642
4f6c6877c190381621c9bef1938db76974ea1d9d 5e4ff1a826bd36e56f3bd281023e891943f30fd3
513c4889710d8657c418ee8cc4db40255f2356c3 a6cf6cdd9b2a6f71834c57d9b5ad2be15415f48e
517a4fc1048c39ad96a77db7dee362bee7d1f48a ad55e82e1caeb3fbb92d10215b592039fd99d9e7
5416c9e9384130966606c383b9da58054e61656c 7cdb3fb80e3b07e20878df1befe05dd47df6f599
58e0b5b00eeed91459e13f30377becf17324dc28 371b72aae1ec49e821f5e9833dca6288b2e722b1
60755d2b8493ca8a14b8b98021b7a25a05baeee5 b9cd3332b449b91b609234e6591afc27ceaa7c5c
60e0e68bae0b861ff48ef5e1cce43946ae463d28 662922f176a65fd358e0d15a741c58bc6aa22aa2
61063fa24bc46b8a38d72138813ca168e26b7ba7 65a957b5940b765412b92bcc3642101110caccfd
67bc0782d733c352d1d6b2176a990772da8b42e2 01e8a801e59b879c61225bb4985513c36f5103e0
69a08adeed83e53609c310b0d3acdcef61b0a6c0 a647ee650ba561ab88ae4f3085ead1806c5db542
6d48857bfa69d49439959d6c63f65d4039648e92 66676043d397f942e3b4cf903c8f2c20804a6223
6ee9531ac5614cebc56aa27cb086c9aae2cfe320 2c6fbdc2d7537ea210910ae74de1b6b0cf1a0f4b
6f99837f05b732c20a7271f0c5888db18e81487a 3ad8cdbe03b5d20fdac2084c566a5808a2e6049f
70578aaaaab37f1b041dc0d5d36633fb3d4b5e7d 66dc787ad040413f61d243315fe4d8cc4166d8e8
7218dc5af19a1ba8ee0750dc845cb2ea599c68c2 da2c0ab96ff374a9c914a4a8ba48a869cd781eba
752b23f628c6316c7fe94acbe2662c16bc8afca5 d0b06cfb8ceb5b7835efed74990bc3987994e277
759d5411a62e98a63cd453132a2bd1bcba02b7b5 1b38c9b621918cb49df0df43c40cfe47d87deeca
785d4b965b213becdbcc8b235781108ea1599df0 e6ed74f4d85d336ebe88c7cbc45cb80c93727ec3
79d3296a20b65ee264e5a0d837743b41c54eebfb 6c02a7c58c2cd83401fd46f3e3a1973edd67b11b
7c4b3ae2088e5c3a9848062902550b5b06c5ae7d 6626ff5473c606a4eee01e5896ec893e29f8fade
7da6474c9bc4c2db7095d1708008f197de9c609a 2966a8ab7f6f3e1e0e5f5825d559caeaad81dd6e
7e7d9c259ae9a2537fbe0c9e6b214988f0fb755d 5496c29955e066f2cb23dd465e4a19a0f10fcc65
7f9aeb1f7afc2df5e16754a427456162ba30e0f0 577a5cd6f0954f1b714601c4225b8de366425e5a
81daeb6c370290d84f0ae3d2b3da2c95ecb61946 c9abd75fb16456201b17e9f7539a0496d44787d2
8313d9c29aceb5bc55c9a61bef35b49ff5f034d2 54a54256e2a075ae59a407efa57ebffb8d6c17ed
83c71d34eb235ef3308e4b56e8602b66a0c030d4 dd4e53aff7a22a1fef1dd85ec6e72bf45f43621c
83f98011c5dfb570b74e41f5c60edf7d3a3478af 0da5874aab523c69410ebe118959595acd710134
8bdcb5d98001a7590b3b1d42004a1800c20f6f22 79d9c19639f83e3c58e2c33c85dff0d78eb25c0a
8e8c3f009a91425375ceb7990e426a8cac85e896 b37f5fc877d7e25f08248de90c485f1efcb60241
8f9c43a604f0e5aff45680710411bf585f2977db de3ef8e407642c333d8eb2013feca50976f2d481
93a299f52ec261b462ab3b284aa32b04d54d6643 3f9399acd4499721263b1c5a7bae12bbd315be9b
95db071d298524ccc3bf95345a5cb99a3ee5691e 300f3310f86ada08ec40c2d01667cde370d1c6e2
993b698e9704e82e1eb4dd5899d7f2f64ad1d6e2 2f38f3860ac6ec2ccaf8d7a4c4f6516ae27d50d6
9e8a1eb2a9c6973d43927cb1d674806752c0e150 9c3de94b4e49d38c71ce637013ef73a94000e9af
9f0142a2c6be93dd6d793cba1ba93a35898b5240 83f8a40b9c2bdb9ed337fa245f6fe7089128534b
a085c4ea4540da3a1ed783851bf59cbaaeb3d62e d8ff7f9659868c9d75b5a88216a278218d8abcac
a1a37be4beb6f22c66db49b4d61b810c1aa1835b fa5f4a99da12361f1cceb4b5df66baab3efc4236
a27ec94f5af4242ebdda04defdf7e28ec7a08050 75c2b67f33f5407ac6083ad3d62c5e8f6f3ba5b2
a76176ba18c249b23c9f94db421cae8a0904ac13 5795a10ad977828144f21a0654f4c7ac7fddd076
a7ed0175d27cb2168b240da647bb9666c9014b13 ccf1f1935add908539ce4e34bedfc253e74dbab2
a81bed1cd06ad7597b9059ea1f4addbaf6399863 1cbe93e1649c70110342a6162e927ae262f075e7
a8c7b9b659582cebedacd59371480ae2c34d971c 91fd69679d3fa26121c990eef6c774e072146c85
ac37be70fc4f04bdaf1e909b7f17377aa96fbd45 5b3635764628b5e1c92fe120bb7ea094ab4f1576
ad1dfe744eb717a374e14c10b08999ebd7638654 dfb53ab5ac5d49880913c947a4132a1abc6d7a11
b4adc5be7a6794a27b9df94f7182c8e35aab608e 69c86a7bf7f59926cc4a820248f4fb7fe1c0abcc
b9bf58805e172a158710202266602b093c391fce 9fa09f6e1224d6aabb6b376957be084aab8ab25c
ba6656b378b899d4cadb4b2affd03e342a3facd6 96fa9b710b34faac971d762eb0ff19b378d7babe
bb4b3d51db9e4f388885a336d3cac1443880aaa1 09522815e17d6a778457f18ab6636137a4afe67d
bba1d548710362eab576f381eea2b5f60f40bedd 5c84201e050147d08bdd9bbb8e33eaa31749f17e
bdcf35f562c6ef3ec1c943956ded1a414e71d5ed 4b5bef7360b1058d6e49908e1715d05ea71c7186
c111a9d99d97af06a32ebdabd09f130039747c4c 9a0157ddc94a9ac0fef936483d5e1f395ca7bffb
c16d628463ed546cf115eb2db1dcad956fb4e2f2 e84bd93db713c90332444bf1b5ff159bff4afd0c
c2279aecca38d0bae81950831a54216aa5afb39f a47463a900e41eb880f20c267d939fcdf7ace469
c5c45b341592f4ddc5a1282983a1bcf3ba116bda 0b8eb9811437e6ed91b84a6ae41c87e82a4230ff
c70c0f5a620b17912172db17eee201fbef2aa3d4 ffe81e43b631142c7d5c26e9fe2defe096f2cb6c
c909bc305aeaeb86b3248476d30a8aa12fcfea34 b7e5db5072ff3585ccf9d88f54c502cfe87ad5de
d27ef0295f883354e18ff7d7ca57f55252227171 5f774dba3b84d33d6784b79c6085de66db925f9a
d3925536652ebe0e954c9e3c7103dd963248bb4d 8cdf8ea99dfa0467a30f5958b9e026fc498a2534
d411e7b3eb6178ef262fc7d790d62f260e7d4b73 20feb947f0fe5a1b9eccfdbc7de3b2d978e73cb7
d59ea24e03626d2db8639b787c2055508b7a8d5e b1b0b11120392f29560a37f9bfcdb0acbbc9a96c
d63e3f141421fd92b89b20e6e03c321337951aa1 ec6c1fecb35005d67711922a1a6c3b53b6947706
db5418383e500fb71620f981e48443ca144f1367 a5378d12a6113f147a3495d91218024bf8f66dca
de2bb684d64015ca22d3340778f0bcf0a17aca55 890de6be19abfd232a273f113019a5af1ae15ab8
dfecb61012a91c458be5529e1ce218cf09f729fc fc832104e365daf6204bf5491a3ebf0723755eac
e11e312b320a59d055784406e97f0202e91d3665 63d44f64eb90d90ede2218234abb8d2b3573c1f7
e3afe33d1ab535199bd93b6560eb5e0b7c42de79 db494dc60f2ab0bafb9628f30b8a6c2ae15b84ed
e4ec9ffb0dfa7969e116e7aeff634c33c1a36009 b3ea370f91af469d679a76f5593c4b7f0fdcd90d
e5f316cfd781820de08c17c0d4ac3f98920fc6db 35951f7ad7c734d047716221f5819cd08fe647b1
e6499c3dff8de50e94f7325f77b1c0299ce16a4f 15775bca1e0686c1fc923017f1c353e5a20acddb
e66bbeb1ae75a0517f24f724414fa5e6c8f1f067 c116843005119a02c888614a1d308ad310396929
e74a4c0a8987c0b5978e641edade65bb1014a8b7 3f60a62e48bde5fe52a59f67a99623b12fcc9dd7
e7645535fad6116de9cecb300b401cbd8b72cb0b 329eb1a662735eb2ba6ee9f62434dd094bffce13
e8efe2e140d11827fcb5f1cd5dbad82ee6fbbaf7 d2304fa217ecc372a83c1f06b4b6608be0753c2c
eafaf97c866c3106cf4330070648ac12b559d006 f9fd9ad1186c7b3760596812e4878a4e06797518
eb5053645313b5928a4070aac0e27b80ba3ff736 c94ad9b9149fa14f645998429d239cc9b764d825
f70e1ac55bc068bedfeac43c0058070d6250d5f6 1589a9608195ecac240f27918046132b41ceaed6
f9b23f5e104227bbc3727e01160d07263aca278f 0e3c53958972da507112523f74651cd70e882eb4
